iter	MultiClass
0	1.08153945
1	1.06083921
2	1.044997364
3	1.024257934
4	1.003947289
5	0.9886733105
6	0.9792942156
7	0.9618737896
8	0.9390113758
9	0.919437842
10	0.9044290245
11	0.8876883542
12	0.8787188187
13	0.8669226457
14	0.8466889476
15	0.8346874572
16	0.8220030255
17	0.8109394146
18	0.7977724721
19	0.7857931308
20	0.7748999239
21	0.7670092914
22	0.7582920667
23	0.7441796444
24	0.7377105921
25	0.7231295983
26	0.7126210477
27	0.6986826945
28	0.6886433926
29	0.6771263117
30	0.6655861638
31	0.6531128599
32	0.6443630685
33	0.6389845606
34	0.6281298092
35	0.619326111
36	0.6099776277
37	0.5943083813
38	0.5843169183
39	0.5697503751
40	0.5610428528
41	0.5522169182
42	0.5391438214
43	0.5323412179
44	0.5238685141
45	0.5172395754
46	0.5069695117
47	0.4981426432
48	0.4902418551
49	0.4830888899
50	0.4763649876
51	0.467216877
52	0.4607224304
53	0.4576107036
54	0.4530788151
55	0.4455750566
56	0.4386425401
57	0.4307809911
58	0.4244073852
59	0.418573302
60	0.412978683
61	0.4075405376
62	0.4033221133
63	0.3965983557
64	0.3902006795
65	0.383546904
66	0.3782099227
67	0.3726299031
68	0.3679478025
69	0.3623013649
70	0.3559301396
71	0.34859524
72	0.3435029171
73	0.3392448172
74	0.3342334886
75	0.329277679
76	0.3251985948
77	0.3191058491
78	0.3135327517
79	0.3091516438
80	0.3036027529
81	0.3003055415
82	0.2965535992
83	0.2909896188
84	0.2872271301
85	0.2844543954
86	0.2813476446
87	0.2780137785
88	0.2753375305
89	0.272363052
90	0.2682063719
91	0.2648224621
92	0.2595495112
93	0.2567524982
94	0.2535332417
95	0.2505798267
96	0.2474914151
97	0.2443173387
98	0.2416375442
99	0.2387042781
100	0.2357388084
101	0.2332151459
102	0.2300936173
103	0.2275121503
104	0.2241307406
105	0.2210966956
106	0.2188287217
107	0.2168415782
108	0.2133431864
109	0.2111015413
110	0.2086950628
111	0.2059748149
112	0.2037860819
113	0.2019946696
114	0.1998014318
115	0.1983977245
116	0.1961739592
117	0.1943969867
118	0.1922474355
119	0.1899076319
120	0.1883681964
121	0.1867681232
122	0.1853435198
123	0.1836287814
124	0.1816179636
125	0.1797894847
126	0.1779904151
127	0.1766678246
128	0.1738589606
129	0.1719900407
130	0.1704933069
131	0.1689562084
132	0.1674254934
133	0.1655682221
134	0.1641163026
135	0.1626771129
136	0.1609431685
137	0.1593076797
138	0.1578353769
139	0.1563820195
140	0.1550162406
141	0.1532601074
142	0.1521773659
143	0.1509351007
144	0.1494612713
145	0.1482546047
146	0.1466860668
147	0.1455134735
148	0.1442780716
149	0.1434883823
150	0.1423668855
151	0.1408061908
152	0.1395611618
153	0.1381790335
154	0.1366490704
155	0.1358397127
156	0.1345069416
157	0.1337376925
158	0.1328776552
159	0.131850973
160	0.1305851578
161	0.1296961298
162	0.1283352129
163	0.1270557043
164	0.1258692481
165	0.1246413763
166	0.1237290997
167	0.1227675325
168	0.1216255133
169	0.1206104327
170	0.1195621631
171	0.1184235144
172	0.1176142298
173	0.1168137635
174	0.1158941952
175	0.1147945087
176	0.114083819
177	0.1132532474
178	0.1125504202
179	0.1119648497
180	0.1112258593
181	0.1105301804
182	0.1097351121
183	0.1091125683
184	0.1083686599
185	0.1076031222
186	0.1068514306
187	0.106245322
188	0.10562686
189	0.1050859184
190	0.1043743105
191	0.1037569405
192	0.1030780555
193	0.1024181444
194	0.1017470944
195	0.1010076358
196	0.1003769196
197	0.09955441676
198	0.09869359978
199	0.09790257011
200	0.09721601137
201	0.09658312861
202	0.09602754155
203	0.09537918975
204	0.0947847205
205	0.09414306054
206	0.0935781525
207	0.09277667667
208	0.09216029712
209	0.09137857965
210	0.09070634851
211	0.09015030947
212	0.08970261036
213	0.08910569915
214	0.08852464391
215	0.08804461642
216	0.08761019871
217	0.08717099374
218	0.086634696
219	0.08599253956
220	0.0854467212
221	0.08480207034
222	0.0843069314
223	0.08391346634
224	0.08345630216
225	0.08291365881
226	0.08245129884
227	0.08200685507
228	0.08164222519
229	0.0812476267
230	0.0808486502
231	0.08043559532
232	0.07996880411
233	0.07934698339
234	0.07897937848
235	0.07858675817
236	0.07820466469
237	0.07790681424
238	0.07736223246
239	0.0769875358
240	0.07661247754
241	0.07622029444
242	0.07582956662
243	0.07543633859
244	0.07501845668
245	0.07464299178
246	0.07429035149
247	0.0739122033
248	0.07357234259
249	0.07315689942
250	0.07285229777
251	0.07244326422
252	0.07185917733
253	0.07148333405
254	0.07105606777
255	0.0707210032
256	0.07042572626
257	0.07013002491
258	0.069758121
259	0.06945624789
260	0.06922662014
261	0.06888695775
262	0.0684601226
263	0.06821105108
264	0.06786810328
265	0.06755634761
266	0.06717194236
267	0.0668249107
268	0.06650990332
269	0.06623056209
270	0.06603138672
271	0.06567419156
272	0.06534105097
273	0.06511183367
274	0.06470783164
275	0.06445875918
276	0.06413488497
277	0.06390908782
278	0.06352107811
279	0.06324126224
280	0.06291571384
281	0.06269913159
282	0.06248646802
283	0.06223379367
284	0.0618985736
285	0.06166833052
286	0.06148459299
287	0.0611670427
288	0.06089032043
289	0.06045566986
290	0.06014187945
291	0.05990870269
292	0.05967554715
293	0.0594248739
294	0.05918424312
295	0.05897564833
296	0.05870646889
297	0.05850362465
298	0.05825699246
299	0.05804512097
300	0.05776815186
301	0.05752247037
302	0.05728424284
303	0.05710700535
304	0.05685645509
305	0.05664827694
306	0.05633050688
307	0.05596835324
308	0.05573985885
309	0.0555460464
310	0.0553439162
311	0.05515514797
312	0.05487512868
313	0.0546776351
314	0.05444697873
315	0.05418080737
316	0.05400706546
317	0.05381084987
318	0.0535505986
319	0.05334169084
320	0.05311685977
321	0.05277651351
322	0.05261331261
323	0.0523978654
324	0.05220353217
325	0.05198777629
326	0.05180389495
327	0.05163964382
328	0.05147448068
329	0.05130498395
330	0.05106924123
331	0.05088652757
332	0.05064412232
333	0.05043417662
334	0.05024548046
335	0.05006197784
336	0.04985083842
337	0.04964055719
338	0.04947061472
339	0.0492813
340	0.04911950425
341	0.04898122872
342	0.04880788861
343	0.04857849586
344	0.048427179
345	0.04817773016
346	0.04804058473
347	0.0478973239
348	0.04774642665
349	0.04755521858
350	0.04738056885
351	0.047228821
352	0.04705742219
353	0.04689636521
354	0.04668135604
355	0.04651016651
356	0.04637508712
357	0.04624889387
358	0.04610357071
359	0.04592198918
360	0.04578542165
361	0.04564396633
362	0.0455188884
363	0.04536162353
364	0.04521300102
365	0.04507070897
366	0.04492584996
367	0.04476979622
368	0.04466854248
369	0.04447463235
370	0.04433208876
371	0.04418001998
372	0.04402985811
373	0.04388830186
374	0.0437461452
375	0.04355464709
376	0.04342031491
377	0.04324534724
378	0.04314482823
379	0.04297483665
