iter	MultiClass
380	0.04282976839
381	0.04269117776
382	0.04256161578
383	0.04241448407
384	0.04227809402
385	0.04217896834
386	0.04204133889
387	0.04191845419
388	0.04179440592
389	0.04165649958
390	0.04152373134
391	0.04139213331
392	0.04124789113
393	0.04112766644
394	0.04101989568
395	0.04090431881
396	0.04073637326
397	0.04060155167
398	0.04049709647
399	0.04041127463
400	0.04031968742
401	0.04020978196
402	0.04011015261
403	0.03999046179
404	0.03987874846
405	0.0397555715
406	0.03966357652
407	0.0395418219
408	0.03943318824
409	0.03929975781
410	0.03922242088
411	0.03907022697
412	0.03888582073
413	0.03877275222
414	0.0386688464
415	0.03850873295
416	0.03838522184
417	0.03827171215
418	0.03812451455
419	0.03802162067
420	0.03788722054
421	0.03780292759
422	0.03768132693
423	0.03757133732
424	0.03747913818
425	0.03736105219
426	0.03727419533
427	0.03715707148
428	0.037037094
429	0.03693461536
430	0.0368363884
431	0.03672521324
432	0.03660295592
433	0.03648819312
434	0.03639256795
435	0.0363221627
436	0.0362176193
437	0.03613237272
438	0.03604704939
439	0.03592823928
440	0.0357777888
441	0.035697584
442	0.03560575918
443	0.0355091237
444	0.03543972172
445	0.03536409347
446	0.03528576238
447	0.03518054295
448	0.03506673006
449	0.03494021432
450	0.03486055662
451	0.03476605179
452	0.03466554227
453	0.03457665265
454	0.0344843601
455	0.03441265299
456	0.03432662556
457	0.03424296208
458	0.03416016933
459	0.03406509811
460	0.03395810247
461	0.03388034785
462	0.03379049907
463	0.03367215692
464	0.03356630807
465	0.03347784155
466	0.03339989061
467	0.03330277392
468	0.03322538329
469	0.03314937271
470	0.03307151511
471	0.03295869487
472	0.03285506552
473	0.03275801621
474	0.03269325219
475	0.03258563196
476	0.03250010262
477	0.03239669994
478	0.03231784152
479	0.03224950773
480	0.03212352416
481	0.03204864251
482	0.03196429024
483	0.03189656129
484	0.0318244061
485	0.0317507693
486	0.03169578036
487	0.03161173729
488	0.03154022309
489	0.03146998001
490	0.03139592691
491	0.03130655482
492	0.03122260167
493	0.03114443787
494	0.03108597602
495	0.03102211609
496	0.03095338805
497	0.03087350526
498	0.0308003857
499	0.03073969794
